20200423 15:34:44 下午 -- [|Debug Log|][NameSpace:Common.DAL][Class:User_DB_DAL][Function:		public Common.Model.User_DB_Model GetModel()TableName:User_DB][]
20200423 15:34:44 下午 -- [|Debug Log|][NameSpace:Common.DAL][Class:MouldingViTracking_DAL][Function:		public DataSet GetModel_ByDayShiftPart(DateTime curDay, string curShift, string partNumber , string machineID)TableName:MouldingViTracking][]
20200423 15:35:23 下午 -- [|Debug Log|][NameSpace:Common.DAL][Class:MouldingViTracking_DAL][Function:		public DataSet GetModel_ByDayShiftPart(DateTime curDay, string curShift, string partNumber , string machineID)TableName:MouldingViTracking][]
20200423 15:35:24 下午 -- [|Debug Log|][NameSpace:Common.DAL][Class:MouldingViTracking_DAL][Function:		public DataSet GetModel_ByDayShiftPart(DateTime curDay, string curShift, string partNumber , string machineID)TableName:MouldingViTracking][]
20200423 15:35:24 下午 -- [|Debug Log|][NameSpace:Common.DAL][Class:MouldingViTracking_DAL][Function:		public DataSet GetModel_ByDayShiftPart(DateTime curDay, string curShift, string partNumber , string machineID)TableName:MouldingViTracking][]
20200423 15:38:03 下午 -- [|Debug Log|][NameSpace:Common.DAL][Class:User_DB_DAL][Function:		public Common.Model.User_DB_Model GetModel()TableName:User_DB][]
20200423 15:38:03 下午 -- [|Debug Log|][NameSpace:Common.DAL][Class:MouldingViTracking_DAL][Function:		public DataSet GetModel_ByDayShiftPart(DateTime curDay, string curShift, string partNumber , string machineID)TableName:MouldingViTracking][]
20200423 15:38:10 下午 -- [|Debug Log|][NameSpace:Common.DAL][Class:MouldingViTracking_DAL][Function:		public DataSet GetModel_ByDayShiftPart(DateTime curDay, string curShift, string partNumber , string machineID)TableName:MouldingViTracking][]
20200423 15:38:12 下午 -- [|Debug Log|][NameSpace:Common.DAL][Class:MouldingViTracking_DAL][Function:		public DataSet GetModel_ByDayShiftPart(DateTime curDay, string curShift, string partNumber , string machineID)TableName:MouldingViTracking][]
20200423 15:38:12 下午 -- [|Debug Log|][NameSpace:Common.DAL][Class:MouldingViTracking_DAL][Function:		public SqlCommand AddCommand(Common.Model.MouldingViTracking_Model model)TableName:MouldingViTracking][;machineID = 1;dateTime = 2020/4/23 15:38:12;partNumber = 75K308-0094;jigNo = TKS 769;model = U553/U554;cavityCount = 2;partsWeight = 0;cycleTime = 40;targetQty = 1080;userName = Lee Hak Yak;userID = D2;acountReading = 0;rejectQty = 0;acceptQty = 0;startTime = 2020/4/23 15:38:12;stopTime = ;day = 2020/4/23 0:00:00;shift = Day;status = Running;matPart01 = LEXAN 143R-701;matPart02 = LEXAN 143R-BL6G086X;matLot01 = A9727J;matLot02 = 9080252;opSign01 = ;opSign02 = ;opSign03 = ;opSign04 = ;opSign05 = ;opSign06 = ;opSign07 = ;opSign08 = ;opSign09 = ;opSign10 = ;opSign11 = ;opSign12 = ;qaSign01 = ;qaSign02 = ;qaSign03 = ;qaSign04 = ;qaSign05 = ;qaSign06 = ;qaSign07 = ;qaSign08 = ;qaSign09 = ;qaSign10 = ;qaSign11 = ;qaSign12 = ;customer = Tokai Rika;lastUpdatedTime = 2020/4/23 15:38:12;trackingID = 4af1c54a-57f2-49a6-a7ee-3b7b697d1b99;remarks = 478]
20200423 15:38:12 下午 -- [|Debug Log|][NameSpace:Common.DAL][Class:MouldingViDefectTracking_DAL][Function:		public SqlCommand AddCommand(Common.Model.MouldingViDefectTracking_Model model)TableName:MouldingViDefectTracking][;id = 0;trackingID = 4af1c54a-57f2-49a6-a7ee-3b7b697d1b99;machineID = 1;dateTime = 2020/4/23 15:38:12;partNumber = 75K308-0094;jigNo = TKS 769;model = U553/U554;cavityCount = 2;userName = Lee Hak Yak;userID = D2;startTime = 2020/4/23 15:38:12;stopTime = ;day = 2020/4/23 0:00:00;shift = Day;status = Running;matPart01 = LEXAN 143R-701;matPart02 = LEXAN 143R-BL6G086X;matLot01 = A9727J;matLot02 = 9080252;defectCodeID = 1;defectCode = White Dot;rejectQty = 0;rejectQtyHour01 = ;rejectQtyHour02 = ;rejectQtyHour03 = ;rejectQtyHour04 = ;rejectQtyHour05 = ;rejectQtyHour06 = ;rejectQtyHour07 = ;rejectQtyHour08 = ;rejectQtyHour09 = ;rejectQtyHour10 = ;rejectQtyHour11 = ;rejectQtyHour12 = ;lastUpdatedTime = 2020/4/23 15:38:12;remarks = ]
20200423 15:38:12 下午 -- [|Debug Log|][NameSpace:Common.DAL][Class:MouldingViDefectTracking_DAL][Function:		public SqlCommand AddCommand(Common.Model.MouldingViDefectTracking_Model model)TableName:MouldingViDefectTracking][;id = 0;trackingID = 4af1c54a-57f2-49a6-a7ee-3b7b697d1b99;machineID = 1;dateTime = 2020/4/23 15:38:12;partNumber = 75K308-0094;jigNo = TKS 769;model = U553/U554;cavityCount = 2;userName = Lee Hak Yak;userID = D2;startTime = 2020/4/23 15:38:12;stopTime = ;day = 2020/4/23 0:00:00;shift = Day;status = Running;matPart01 = LEXAN 143R-701;matPart02 = LEXAN 143R-BL6G086X;matLot01 = A9727J;matLot02 = 9080252;defectCodeID = 10;defectCode = Black Dot;rejectQty = 0;rejectQtyHour01 = ;rejectQtyHour02 = ;rejectQtyHour03 = ;rejectQtyHour04 = ;rejectQtyHour05 = ;rejectQtyHour06 = ;rejectQtyHour07 = ;rejectQtyHour08 = ;rejectQtyHour09 = ;rejectQtyHour10 = ;rejectQtyHour11 = ;rejectQtyHour12 = ;lastUpdatedTime = 2020/4/23 15:38:12;remarks = ]
20200423 15:38:12 下午 -- [|Debug Log|][NameSpace:Common.DAL][Class:MouldingViDefectTracking_DAL][Function:		public SqlCommand AddCommand(Common.Model.MouldingViDefectTracking_Model model)TableName:MouldingViDefectTracking][;id = 0;trackingID = 4af1c54a-57f2-49a6-a7ee-3b7b697d1b99;machineID = 1;dateTime = 2020/4/23 15:38:12;partNumber = 75K308-0094;jigNo = TKS 769;model = U553/U554;cavityCount = 2;userName = Lee Hak Yak;userID = D2;startTime = 2020/4/23 15:38:12;stopTime = ;day = 2020/4/23 0:00:00;shift = Day;status = Running;matPart01 = LEXAN 143R-701;matPart02 = LEXAN 143R-BL6G086X;matLot01 = A9727J;matLot02 = 9080252;defectCodeID = 11;defectCode = Oil Stain;rejectQty = 0;rejectQtyHour01 = ;rejectQtyHour02 = ;rejectQtyHour03 = ;rejectQtyHour04 = ;rejectQtyHour05 = ;rejectQtyHour06 = ;rejectQtyHour07 = ;rejectQtyHour08 = ;rejectQtyHour09 = ;rejectQtyHour10 = ;rejectQtyHour11 = ;rejectQtyHour12 = ;lastUpdatedTime = 2020/4/23 15:38:12;remarks = ]
20200423 15:38:12 下午 -- [|Debug Log|][NameSpace:Common.DAL][Class:MouldingViDefectTracking_DAL][Function:		public SqlCommand AddCommand(Common.Model.MouldingViDefectTracking_Model model)TableName:MouldingViDefectTracking][;id = 0;trackingID = 4af1c54a-57f2-49a6-a7ee-3b7b697d1b99;machineID = 1;dateTime = 2020/4/23 15:38:12;partNumber = 75K308-0094;jigNo = TKS 769;model = U553/U554;cavityCount = 2;userName = Lee Hak Yak;userID = D2;startTime = 2020/4/23 15:38:12;stopTime = ;day = 2020/4/23 0:00:00;shift = Day;status = Running;matPart01 = LEXAN 143R-701;matPart02 = LEXAN 143R-BL6G086X;matLot01 = A9727J;matLot02 = 9080252;defectCodeID = 12;defectCode = Flow Line;rejectQty = 0;rejectQtyHour01 = ;rejectQtyHour02 = ;rejectQtyHour03 = ;rejectQtyHour04 = ;rejectQtyHour05 = ;rejectQtyHour06 = ;rejectQtyHour07 = ;rejectQtyHour08 = ;rejectQtyHour09 = ;rejectQtyHour10 = ;rejectQtyHour11 = ;rejectQtyHour12 = ;lastUpdatedTime = 2020/4/23 15:38:12;remarks = ]
20200423 15:38:12 下午 -- [|Debug Log|][NameSpace:Common.DAL][Class:MouldingViDefectTracking_DAL][Function:		public SqlCommand AddCommand(Common.Model.MouldingViDefectTracking_Model model)TableName:MouldingViDefectTracking][;id = 0;trackingID = 4af1c54a-57f2-49a6-a7ee-3b7b697d1b99;machineID = 1;dateTime = 2020/4/23 15:38:12;partNumber = 75K308-0094;jigNo = TKS 769;model = U553/U554;cavityCount = 2;userName = Lee Hak Yak;userID = D2;startTime = 2020/4/23 15:38:12;stopTime = ;day = 2020/4/23 0:00:00;shift = Day;status = Running;matPart01 = LEXAN 143R-701;matPart02 = LEXAN 143R-BL6G086X;matLot01 = A9727J;matLot02 = 9080252;defectCodeID = 13;defectCode = Over-Cut;rejectQty = 0;rejectQtyHour01 = ;rejectQtyHour02 = ;rejectQtyHour03 = ;rejectQtyHour04 = ;rejectQtyHour05 = ;rejectQtyHour06 = ;rejectQtyHour07 = ;rejectQtyHour08 = ;rejectQtyHour09 = ;rejectQtyHour10 = ;rejectQtyHour11 = ;rejectQtyHour12 = ;lastUpdatedTime = 2020/4/23 15:38:12;remarks = ]
20200423 15:38:12 下午 -- [|Debug Log|][NameSpace:Common.DAL][Class:MouldingViDefectTracking_DAL][Function:		public SqlCommand AddCommand(Common.Model.MouldingViDefectTracking_Model model)TableName:MouldingViDefectTracking][;id = 0;trackingID = 4af1c54a-57f2-49a6-a7ee-3b7b697d1b99;machineID = 1;dateTime = 2020/4/23 15:38:12;partNumber = 75K308-0094;jigNo = TKS 769;model = U553/U554;cavityCount = 2;userName = Lee Hak Yak;userID = D2;startTime = 2020/4/23 15:38:12;stopTime = ;day = 2020/4/23 0:00:00;shift = Day;status = Running;matPart01 = LEXAN 143R-701;matPart02 = LEXAN 143R-BL6G086X;matLot01 = A9727J;matLot02 = 9080252;defectCodeID = 14;defectCode = Crack;rejectQty = 0;rejectQtyHour01 = ;rejectQtyHour02 = ;rejectQtyHour03 = ;rejectQtyHour04 = ;rejectQtyHour05 = ;rejectQtyHour06 = ;rejectQtyHour07 = ;rejectQtyHour08 = ;rejectQtyHour09 = ;rejectQtyHour10 = ;rejectQtyHour11 = ;rejectQtyHour12 = ;lastUpdatedTime = 2020/4/23 15:38:12;remarks = ]
20200423 15:38:12 下午 -- [|Debug Log|][NameSpace:Common.DAL][Class:MouldingViDefectTracking_DAL][Function:		public SqlCommand AddCommand(Common.Model.MouldingViDefectTracking_Model model)TableName:MouldingViDefectTracking][;id = 0;trackingID = 4af1c54a-57f2-49a6-a7ee-3b7b697d1b99;machineID = 1;dateTime = 2020/4/23 15:38:12;partNumber = 75K308-0094;jigNo = TKS 769;model = U553/U554;cavityCount = 2;userName = Lee Hak Yak;userID = D2;startTime = 2020/4/23 15:38:12;stopTime = ;day = 2020/4/23 0:00:00;shift = Day;status = Running;matPart01 = LEXAN 143R-701;matPart02 = LEXAN 143R-BL6G086X;matLot01 = A9727J;matLot02 = 9080252;defectCodeID = 15;defectCode = Short Mold;rejectQty = 0;rejectQtyHour01 = ;rejectQtyHour02 = ;rejectQtyHour03 = ;rejectQtyHour04 = ;rejectQtyHour05 = ;rejectQtyHour06 = ;rejectQtyHour07 = ;rejectQtyHour08 = ;rejectQtyHour09 = ;rejectQtyHour10 = ;rejectQtyHour11 = ;rejectQtyHour12 = ;lastUpdatedTime = 2020/4/23 15:38:12;remarks = ]
20200423 15:38:12 下午 -- [|Debug Log|][NameSpace:Common.DAL][Class:MouldingViDefectTracking_DAL][Function:		public SqlCommand AddCommand(Common.Model.MouldingViDefectTracking_Model model)TableName:MouldingViDefectTracking][;id = 0;trackingID = 4af1c54a-57f2-49a6-a7ee-3b7b697d1b99;machineID = 1;dateTime = 2020/4/23 15:38:12;partNumber = 75K308-0094;jigNo = TKS 769;model = U553/U554;cavityCount = 2;userName = Lee Hak Yak;userID = D2;startTime = 2020/4/23 15:38:12;stopTime = ;day = 2020/4/23 0:00:00;shift = Day;status = Running;matPart01 = LEXAN 143R-701;matPart02 = LEXAN 143R-BL6G086X;matLot01 = A9727J;matLot02 = 9080252;defectCodeID = 16;defectCode = Stain Mark;rejectQty = 0;rejectQtyHour01 = ;rejectQtyHour02 = ;rejectQtyHour03 = ;rejectQtyHour04 = ;rejectQtyHour05 = ;rejectQtyHour06 = ;rejectQtyHour07 = ;rejectQtyHour08 = ;rejectQtyHour09 = ;rejectQtyHour10 = ;rejectQtyHour11 = ;rejectQtyHour12 = ;lastUpdatedTime = 2020/4/23 15:38:12;remarks = ]
20200423 15:38:12 下午 -- [|Debug Log|][NameSpace:Common.DAL][Class:MouldingViDefectTracking_DAL][Function:		public SqlCommand AddCommand(Common.Model.MouldingViDefectTracking_Model model)TableName:MouldingViDefectTracking][;id = 0;trackingID = 4af1c54a-57f2-49a6-a7ee-3b7b697d1b99;machineID = 1;dateTime = 2020/4/23 15:38:12;partNumber = 75K308-0094;jigNo = TKS 769;model = U553/U554;cavityCount = 2;userName = Lee Hak Yak;userID = D2;startTime = 2020/4/23 15:38:12;stopTime = ;day = 2020/4/23 0:00:00;shift = Day;status = Running;matPart01 = LEXAN 143R-701;matPart02 = LEXAN 143R-BL6G086X;matLot01 = A9727J;matLot02 = 9080252;defectCodeID = 17;defectCode = Weld Line;rejectQty = 0;rejectQtyHour01 = ;rejectQtyHour02 = ;rejectQtyHour03 = ;rejectQtyHour04 = ;rejectQtyHour05 = ;rejectQtyHour06 = ;rejectQtyHour07 = ;rejectQtyHour08 = ;rejectQtyHour09 = ;rejectQtyHour10 = ;rejectQtyHour11 = ;rejectQtyHour12 = ;lastUpdatedTime = 2020/4/23 15:38:12;remarks = ]
